Run	Sample Characteristic[cell type]	Sample Characteristic Ontology Term[cell type]	Sample Characteristic[disease]	Sample Characteristic Ontology Term[disease]	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Factor Value[compound]	Factor Value Ontology Term[compound]	Analysed
SRR1012937	MCF7	http://www.ebi.ac.uk/efo/EFO_0001203	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	vehicle	http://www.ebi.ac.uk/efo/EFO_0000732	Yes
SRR1012938	MCF7	http://www.ebi.ac.uk/efo/EFO_0001203	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	vehicle	http://www.ebi.ac.uk/efo/EFO_0000732	Yes
SRR1012939	MCF7	http://www.ebi.ac.uk/efo/EFO_0001203	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	vehicle	http://www.ebi.ac.uk/efo/EFO_0000732	Yes
SRR1012940	MCF7	http://www.ebi.ac.uk/efo/EFO_0001203	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	vehicle	http://www.ebi.ac.uk/efo/EFO_0000732	Yes
SRR1012941	MCF7	http://www.ebi.ac.uk/efo/EFO_0001203	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	vehicle	http://www.ebi.ac.uk/efo/EFO_0000732	Yes
SRR1012942	MCF7	http://www.ebi.ac.uk/efo/EFO_0001203	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	vehicle	http://www.ebi.ac.uk/efo/EFO_0000732	Yes
SRR1012943	MCF7	http://www.ebi.ac.uk/efo/EFO_0001203	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	vehicle	http://www.ebi.ac.uk/efo/EFO_0000732	Yes
SRR1012944	MCF7	http://www.ebi.ac.uk/efo/EFO_0001203	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	vehicle	http://www.ebi.ac.uk/efo/EFO_0000732	Yes
SRR1012945	MCF7	http://www.ebi.ac.uk/efo/EFO_0001203	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	vehicle	http://www.ebi.ac.uk/efo/EFO_0000732	Yes
SRR1012946	MCF7	http://www.ebi.ac.uk/efo/EFO_0001203	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	vehicle	http://www.ebi.ac.uk/efo/EFO_0000732	Yes
SRR1012947	MCF7	http://www.ebi.ac.uk/efo/EFO_0001203	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	vehicle	http://www.ebi.ac.uk/efo/EFO_0000732	Yes
SRR1012948	MCF7	http://www.ebi.ac.uk/efo/EFO_0001203	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	vehicle	http://www.ebi.ac.uk/efo/EFO_0000732	Yes
SRR1012949	MCF7	http://www.ebi.ac.uk/efo/EFO_0001203	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	vehicle	http://www.ebi.ac.uk/efo/EFO_0000732	Yes
SRR1012950	MCF7	http://www.ebi.ac.uk/efo/EFO_0001203	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	vehicle	http://www.ebi.ac.uk/efo/EFO_0000732	Yes
SRR1012951	MCF7	http://www.ebi.ac.uk/efo/EFO_0001203	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	vehicle	http://www.ebi.ac.uk/efo/EFO_0000732	Yes
SRR1012952	MCF7	http://www.ebi.ac.uk/efo/EFO_0001203	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	vehicle	http://www.ebi.ac.uk/efo/EFO_0000732	Yes
SRR1012953	MCF7	http://www.ebi.ac.uk/efo/EFO_0001203	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	vehicle	http://www.ebi.ac.uk/efo/EFO_0000732	Yes
SRR1012954	MCF7	http://www.ebi.ac.uk/efo/EFO_0001203	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	vehicle	http://www.ebi.ac.uk/efo/EFO_0000732	Yes
